,town,lat,lon
373,Furulund,55.7751,13.0935
374,Furusjö,57.928,13.9632
375,Furuvik,60.6525,17.3442
376,Fyllinge,56.6447,12.9298
377,Fågelfors,57.2088,15.8596
378,Fågelmara,56.2552,15.9751
379,Fågelsta,58.4584,15.043
381,Fårbo,57.3833,16.4833
382,Fårösund,57.8627,19.06
383,Färgelanda,58.569,11.9948
384,Färila,61.8001,15.8441
385,Färjestaden,56.65,16.4674
386,Färlöv,56.0711,14.0854
387,Färnäs,61.0016,14.6126
388,Föllinge,63.6706,14.6109
389,Förslöv,56.35,12.8167
390,Gagnef,60.5959,15.0737
391,Gamleby,57.8932,16.4061
392,Gammelgården,65.8812,23.0398
393,Gammelstad,65.6417,22.0139
394,Gantofta,55.9833,12.8
395,Garpenberg,60.3195,16.1977
396,Garphyttan,59.3036,14.9481
397,Geijersholm,60.0667,13.7264
398,Gemla,56.8681,14.6441
399,Genarp,55.5995,13.4004
400,Genevad,56.5667,13.0167
401,Gessie villastad,55.4977,12.9559
402,Gesunda,60.8863,14.544
403,Getinge,56.8207,12.7436
404,Gideå,63.4941,18.9781
405,Gimmersta,59.1375,16.0609
406,Gimo,60.1715,18.1852
407,Gimåt,63.3179,18.7085
408,Gislaved,57.3012,13.548
409,Gistad,58.4677,15.8928
410,Gladö kvarn,59.1947,18.0011
411,Glanshammar,59.3186,15.4003
412,Glemmingebro,55.4387,14.0939
413,Glimåkra,56.3051,14.1363
414,Glommen,56.9306,12.3602
415,Glommersträsk,65.2607,19.6324
416,Glumslöv,55.943,12.8087
417,Gnarp,62.0545,17.2398
418,Gnesta,59.0436,17.3132
419,Gnosjö,57.3544,13.7441
420,Godegård,58.7474,15.1625
421,Gonäs,60.1473,15.0963
422,Gottne,63.4301,18.4248
423,Grangärde,60.2681,14.9796
424,Granö,64.2473,19.3374
425,Graversfors,58.6929,16.1586
426,Grebbestad,58.6923,11.256
427,Grebo,58.3,15.8653
428,Grevie,56.3833,12.7833
430,Grillby,59.6251,17.2672
431,Grimslöv,56.735,14.5398
432,Grimstorp,57.5598,14.7121
433,Grimsås,57.484,13.5543
434,Gripenberg,57.9938,14.856
435,Grisslehamn,60.1008,18.8042
436,Grums,59.3424,13.1063
437,Grundsund,58.2147,11.4178
438,Grycksbo,60.6833,15.4667
439,Grytgöl,58.8,15.55
440,Grythyttan,59.7,14.5333
441,Gråbo,57.8306,12.2971
442,Gräfsnäs,58.0791,12.4954
443,Grängesberg,60.0802,15.0094
444,Gränna,58.0232,14.4676
445,Gränum,56.2287,14.6037
446,Grästorp,58.3324,12.68
447,Grödby,59.0518,17.8698
448,Gualöv,56.05,14.4167
449,Gubbo,60.1765,15.3224
450,Gudhem,58.2189,13.5635
451,Gullbrandstorp,56.7041,12.7336
452,Gullbranna,56.5889,12.9472
453,Gulleråsen,61.0639,15.1852
454,Gullringen,57.8009,15.7169
455,Gullspång,58.9822,14.1006
457,Gunnarskog,59.8154,12.5779
458,Gunnarstorp,56.0993,12.9233
459,Gunnebo,57.7204,16.5272
460,Gunsta,59.8554,17.8326
461,Gusselby,59.6417,15.2333
462,Gustavsberg,59.3313,18.3937
464,Gusum,58.2667,16.4833
465,Gyttorp,59.504,14.9705
466,Gånghester,57.7,13.0167
467,Gårdby,56.6016,16.6403
468,Gårdskär,60.6096,17.577
469,Gårdstånga,55.7652,13.3222
470,Gåvsta,59.9427,17.8762
471,Gäddede,64.5017,14.1476
472,Gällivare,67.1395,20.6623
473,Gällstad,57.6684,13.4309
474,Gällö,62.9142,15.2336
475,Gängletorp,56.1609,15.7334
476,Gärds Köpinge,55.9475,14.1568
477,Gärsnäs,55.5465,14.1813
478,Gävle,60.6878,17.1897
479,Göta,58.1167,12.15
480,Göteborg,57.702,11.8937
481,Götene,58.5242,13.4812
482,Götlunda,59.3543,15.666
483,Habo,57.9081,14.0807
484,Hackås,62.9272,14.5167
485,Haga,62.4066,17.3289
486,Hagby,56.5538,16.1811
488,Hagfors,60.0335,13.6917
489,Hagge,60.1219,15.2773
490,Hagryd-Dala,57.5345,11.9757
491,Hakkas,66.9151,21.5647
492,Halla Heberg,57.4496,11.971
493,Hallabro,56.3889,15.1082
494,Hallen,63.1774,14.0907
495,Hallerna,58.0498,11.841
496,Hallsberg,59.0656,15.1056
497,Hallstahammar,59.6124,16.2286
498,Hallstavik,60.0505,18.5975
499,Halltorp,56.4965,16.1169
500,Halmstad,56.6707,12.828
501,Halvarsgårdarna,60.4082,15.3893
502,Hamburgsund,58.5528,11.2714
503,Hammar,58.8167,14.95
505,Hammarby,60.546,16.57
506,Hammarslund,56.0176,14.1944
507,Hammarstrand,63.1092,16.3536
508,Hammenhög,55.5078,14.1517
509,Hammerdal,63.5827,15.3518
510,Hampetorp,59.1396,15.6695
511,Hamrångefjärden,60.895,17.0696
512,Hanaskog,56.1595,14.0928
513,Haparanda,65.8404,24.1119
514,Harads,66.0667,20.9833
515,Harbo,60.1088,17.2117
516,Hargshamn,60.166,18.4668
517,Harlösa,55.7167,13.5333
518,Harmånger,61.9283,17.2145
519,Harplinge,56.7439,12.7239
520,Hassela,62.1164,16.7047
521,Hasselfors,59.0833,14.65
522,Hasslarp,56.1333,12.8167
523,Hasslö,56.1087,15.4639
524,Hasslöv,56.4134,13.0057
525,Havdhem,57.1538,18.3383
526,Haverdal,56.7303,12.6695
527,Heberg,56.8833,12.6333
528,Heby,59.943,16.8554
529,Hedared,57.8073,12.7533
530,Hede,62.4187,13.5095
531,Hedekas,58.65,11.7667
532,Hedemora,60.2798,15.9827
533,Hedenäset,66.2283,23.6488
534,Hedeskoga,55.4512,13.7992
535,Hedesunda,60.3937,17.0065
536,Hedvigsberg,58.8741,17.4841
537,Helsingborg,56.0353,12.7283
538,Hemavan/Bierke,65.8149,15.0877
539,Hemmesta,59.323,18.4886
540,Hemmingsmark,65.2226,21.2851
541,Hemse,57.2333,18.3667
542,Henån,58.2363,11.6711
543,Herrestad,58.3435,11.8541
544,Herrljunga,58.0793,13.023
545,Herräng,60.1286,18.6486
546,Herstadberg,58.6263,16.1744
547,Hestra,57.4432,13.596
549,Hillared,57.6277,13.1852
550,Hillerstorp,57.3147,13.8803
551,Himle,57.0725,12.3645
552,Hindås,57.704,12.4513
553,Hishult,56.4311,13.3126
554,Hissjön,63.9366,20.161
555,Hittarp,56.096,12.6385
556,Hjo,58.3013,14.2761
557,Hjorted,57.6261,16.3164
558,Hjortkvarn,58.8982,15.4382
559,Hjortsberga,56.9131,14.4528
560,Hjuvik,57.6976,11.756
561,Hjälm,57.495,12.1658
562,Hjälmared,57.5333,12.15
564,Hjältevad,57.6265,15.3347
