,town,lat,lon
802,Kusmark,64.8835,20.8096
803,Kuttainen,68.3765,22.8052
804,Kvibille,56.7836,12.8389
805,Kvicksund,59.4515,16.3204
806,Kvidinge,56.1333,13.0667
807,Kvillsfors,57.4078,15.5172
808,Kvisljungeby,57.7581,11.8262
809,Kvissleby,62.2961,17.3799
810,Kvänum,58.2955,13.193
811,Kvärlöv,55.8377,12.9922
812,Kyrkheddinge,55.6466,13.2673
813,Kyrkhult,56.3555,14.5886
814,Kyrksten,59.4381,14.3915
815,Kåge,64.8333,20.9833
816,Kågeröd,55.999,13.0869
817,Kåhög,57.7497,12.1522
818,Kållekärr,58.0223,11.6701
819,Kållered,57.6141,12.0863
820,Kånna,56.7794,13.9032
821,Kårsta,59.6564,18.2701
822,Kälarne,62.9873,16.0905
823,Källby,58.5167,13.3167
824,Källö-Knippla,57.7532,11.6506
825,Kärda,57.1733,13.9218
826,Kärna,57.8441,11.7914
827,Kärsta och Bredsdal,59.6801,16.8425
828,Kättilsmåla,56.276,15.7367
829,Kättilstorp,58.044,13.7114
830,Kävlinge,55.7933,13.1157
831,Köping,59.5155,16.0001
832,Köpingebro,55.4667,13.9333
833,Köpingsvik,56.886,16.7312
834,Köpmanholmen,63.1667,18.5667
835,Lagan,57.2457,14.0624
836,Laholm,56.5055,13.0363
837,Lammhult,57.1681,14.5834
838,Landeryd,57.0833,13.2667
839,Landfjärden,59.0324,17.9894
840,Landsbro,57.3667,14.9
841,Landskrona,55.8795,12.8464
842,Landvetter,57.6632,12.2843
844,Lanna,59.8731,17.9592
846,Latorpsbruk,59.2781,14.9896
847,Laxvik,56.5964,12.93
848,Laxå,58.9821,14.6215
849,Lekeryd,57.7698,14.4244
850,Leksand,60.7319,15.0365
851,Lenhovda,57.0008,15.2844
852,Lerdala,58.4833,13.7285
853,Lerkil,57.4554,11.92
854,Lerum,57.7747,12.28
855,Lesjöfors,59.9755,14.1858
856,Lessebo,56.753,15.2695
857,Liatorp,56.6718,14.2729
859,Liden,62.705,16.8077
860,Lidhult,56.8283,13.4392
861,Lidingö,59.3632,18.1936
862,Lidköping,58.5102,13.1479
863,Lilla Edet,58.1322,12.1243
864,Lilla Harrie,55.7922,13.2064
865,Lilla Stenby,59.3869,17.5297
866,Lilla Tjärby,56.526,13.0582
867,Lillhaga,58.9963,17.1277
868,Lillhärdal,61.8517,14.0825
869,Lillkyrka,59.5486,17.2742
870,Lillpite,65.3863,21.1397
871,Lima,60.9371,13.3603
872,Limedsforsen,60.8942,13.3938
873,Limmared,57.541,13.3606
874,Linderöd,55.9333,13.8167
875,Lindesberg,59.5905,15.2234
876,Lindholmen,59.5819,18.1021
877,Lindome,57.5748,12.0793
878,Lindsdal,56.7332,16.2876
879,Lindö,56.7891,16.4444
880,Lingbo,61.0479,16.6873
881,Linghed,60.7833,15.85
882,Linghem,58.4289,15.7815
883,Linköping,58.4034,15.6108
884,Linneryd,56.658,15.1497
885,Listerby,56.1935,15.4148
886,Lit,63.3225,14.8536
887,Ljugarn,57.3263,18.7089
888,Ljung,57.988,13.0594
889,Ljunga,58.5167,16.35
890,Ljungaverk,62.4894,16.0419
891,Ljungby,56.8332,13.9412
892,Ljungbyhed,56.0737,13.2337
893,Ljungbyholm,56.6333,16.1667
894,Ljunghusen,55.4054,12.92
895,Ljungsarp,57.5654,13.5835
896,Ljungsbro,58.5051,15.5094
897,Ljungskile,58.2167,11.9167
899,Ljusdal,61.8295,16.0916
900,Ljusfallshammar,58.7776,15.5238
901,Ljusne,61.2167,17.1333
902,Loftahammar,57.9079,16.6981
903,Lomma,55.6744,13.0761
904,Los,61.7364,15.1672
905,Lotorp,58.7333,15.8333
906,Lottefors,61.4204,16.3948
907,Lucksta,62.2987,17.0499
908,Ludvigsborg,55.9042,13.6073
909,Ludvika,60.139,15.1971
910,Lugnet och Skälsmara,59.2483,18.5344
911,Lugnvik,63.2833,18.7333
912,Lugnås,58.6434,13.6994
913,Luleå,65.5871,22.1814
914,Lund,55.7068,13.198
916,Lunde,62.8818,17.8491
917,Lundsbrunn,58.4726,13.449
918,Lunnarp,55.5435,14.0415
919,Lurudden,60.1473,19.7179
920,Lycksele,64.5924,18.6884
921,Lyrestad,58.7966,14.0781
922,Lysekil,58.2797,11.4476
923,Lysvik,60.0245,13.1404
924,Långasjö,56.5871,15.4483
925,Långsele,63.1833,17.0667
926,Långshyttan,60.4522,16.0329
927,Långvik,59.2382,18.5181
928,Långviksmon,63.6333,18.6833
929,Långås,56.9772,12.4475
930,Låssby,57.7333,11.8333
931,Läby,60.0879,17.5526
932,Läckeby,56.7811,16.2833
933,Länghem,57.6015,13.2443
934,Länna,59.2395,14.9366
935,Lärbro,57.7821,18.7928
936,Löberöd,55.7761,13.5133
937,Löddeköpinge,55.7599,13.0014
938,Löderup,55.4433,14.1267
939,Lödöse,58.0319,12.1557
940,Löftaskog,57.3052,12.181
941,Lögdeå,63.5547,19.3996
942,Lönsboda,56.3976,14.3198
943,Lörby,56.0743,14.717
944,Löttorp,57.1667,16.9833
946,Lövestad,55.6537,13.8913
947,Lövstalöt,59.9585,17.5844
948,Lövånger,64.3749,21.3105
949,Madängsholm,58.1394,13.9245
950,Mala,65.1849,18.7369
951,Malmberget,67.1687,20.6591
952,Malmbäck,57.5788,14.4635
953,Malmköping,59.1324,16.7292
954,Malmslätt,58.4146,15.5203
955,Malmö,55.5708,13.018
956,Maln,60.4652,17.6675
957,Malung,60.6801,13.6965
958,Malungsfors,60.7344,13.5576
959,Malå,65.1849,18.7369
960,Mantorp,58.3504,15.2879
961,Marbäck,57.75,13.4167
962,Margretetorp,56.3349,12.893
963,Mariannelund,57.6166,15.5722
964,Marieby,63.1267,14.6962
965,Mariedal,58.1,16.8
966,Mariefred,59.2593,17.2214
967,Marieholm,55.8632,13.1497
968,Marielund,61.3297,17.1476
970,Mariestad,58.7046,13.8325
971,Markaryd,56.4589,13.6001
972,Marma,60.4955,17.4249
973,Marmaskogen,61.2784,16.8937
974,Marmaverken,61.2667,16.8667
975,Marmorbyn,59.0461,16.0699
976,Marstrand,57.8874,11.5886
977,Matfors,62.3526,17.0358
978,Medle,64.7392,20.7334
979,Medåker,59.453,15.7538
980,Mehedeby,60.4434,17.4078
981,Mellansel,63.4279,18.3104
982,Mellbystrand,56.5167,12.9333
983,Mellerud,58.6985,12.4597
984,Mellösa,59.1264,16.5551
985,Merlänna,59.2812,16.9811
986,Misterhult,57.4632,16.5496
987,Mjällby,56.0467,14.6831
988,Mjällom,62.9885,18.4262
989,Mjöbäck,57.3134,12.8768
990,Mjöhult,56.1771,12.6775
991,Mjölby,58.3309,15.1372
992,Mjönäs,59.8747,13.5588
993,Mockfjärd,60.5007,14.9686
994,Mogata,58.4518,16.4517
995,Mohed,61.2925,16.8289
996,Moheda,57.0028,14.5733
997,Moholm,58.6062,14.0427
998,Moliden,63.3894,18.4533
999,Molkom,59.6,13.7
1000,Mollösund,58.0734,11.4734
1001,Mora,61.0071,14.5522
1003,Morgongåva,59.9333,16.95
1004,Morjärv,66.0631,22.6975
1005,Morup,56.9812,12.3962
1006,Moskosel,65.8667,19.4167
1007,Motala,58.5484,15.0421
1008,Mullhyttan,59.1533,14.6968
1009,Mullsjö,57.9148,13.8794
1010,Munga,60.309,17.4121
1011,Munka-Ljungby,56.2573,12.9704
1012,Munkedal,58.4726,11.6832
1013,Munkfors,59.8398,13.54
1014,Munktorp,59.5328,16.1338
1015,Muskö,58.9974,18.1345
1016,Myckle,64.7532,20.8727
1017,Myggenäs,58.0625,11.7511
1018,Myresjö,57.3882,14.9824
1019,Myrviken,62.9992,14.3396
1020,Mysingsö,57.2432,16.5006
1021,Mysterna,57.8133,11.9895
1022,Målerås,56.9147,15.5693
1023,Målilla,57.3833,15.8
1024,Målsryd,57.683,13.0664
1025,Månkarbo,60.2281,17.4623
1026,Måttsund,65.5372,21.9159
1027,Märsta,59.6145,17.8286
1028,Möklinta,60.0786,16.5389
1029,Mölle,56.2802,12.5031
1030,Mölltorp,58.4963,14.414
1031,Mölnbo,59.0478,17.4237
1032,Mölnlycke,57.6494,12.1142
1033,Mönsterås,57.0411,16.4405
1034,Mörarp,56.0579,12.8799
1035,Mörbylånga,56.5189,16.3905
1036,Mörlunda,57.321,15.8635
1037,Mörrum,56.1938,14.7482
1038,Mörsil,63.3216,13.6605
1039,Mörtnäs,59.3129,18.4376
1040,Naglarby och Enbacka,60.4148,15.595
1041,Nedansjö,62.3773,16.841
1042,Nedre Gärdsjö,60.934,15.2196
1043,Nikkala,65.7953,23.9201
1044,Nissafors,57.4155,13.6442
1045,Nitta,57.8274,13.1908
1046,Njurundabommen,62.268,17.374
1047,Njutånger,61.6146,17.0497
1048,Nogersund,56.0081,14.732
1049,Nolvik,57.78,11.8463
1050,Nora,59.5136,15.0196
1051,Norberg,60.0793,15.9287
1052,Nordanö,60.1486,16.2368
1053,Nordingrå,62.9291,18.293
1054,Nordkroken,58.3833,12.4
1055,Nordmaling,63.5703,19.5033
1056,Nordmark,59.8371,14.1212
1057,Nore,61.8389,16.0544
1058,Norje,56.1254,14.6796
1059,Norr Amsberg,60.53,15.3514
1060,Norra Bro,59.2285,15.2504
1061,Norra Lagnö,59.3548,18.4112
1062,Norra Riksten,59.145,17.982
1063,Norra Rörum,56.0163,13.5095
1064,Norra Visby,57.6267,18.3097
1065,Norra Åsum,55.9908,14.1458
1066,Norrfjärden,65.4167,21.45
1067,Norr-Hede,62.4237,13.534
1068,Norrhult-Klavreström,57.136,15.1592
1069,Norrköping,58.5867,16.1936
1070,Norrlandet,57.7997,16.6167
1071,Norrskedika,60.285,18.2899
1072,Norrsundet,60.95,17.1333
1073,Norrtälje,59.7589,18.7073
1074,Norrö,57.5667,15.1
1075,Norsesund,57.8621,12.4385
1076,Norsholm,58.5167,15.9667
1077,Norsjö,64.9136,19.4869
1078,Nossebro,58.1897,12.7226
1079,Nusnäs,60.9667,14.6333
1080,Nya Långenäs,57.65,12.1667
1081,Nyborg,65.7906,23.1862
1082,Nybro,56.7423,15.9132
1083,Nybrostrand,55.4357,13.9529
1084,Nygård,58.05,12.2167
1085,Nygårds hagar,57.1007,12.2688
1086,Nyhammar,60.2963,14.9527
1087,Nykil,58.2877,15.4481
1088,Nykroppa,59.6233,14.3028
1089,Nykvarn,59.1734,17.4314
1090,Nykyrka,58.6224,14.9715
1091,Nyköping,58.7609,17.0216
1092,Nyland,63.006,17.7594
1093,Nymölla,56.0388,14.4688
1094,Nynäshamn,58.9124,17.9467
1095,Nås,60.4576,14.5
1096,Nälden,63.3555,14.262
1097,Näs bruk,60.1811,16.479
1098,Nässjö,57.6554,14.7036
1099,Näsum,56.1709,14.4971
1100,Näsviken,61.7667,16.8667
1102,Näsåker,63.4333,16.9
1103,Nättraby,56.1995,15.5353
1104,Nävekvarn,58.6333,16.8
1105,Nävragöl,56.3724,15.567
1106,Nöbbele,56.6916,15.0208
1107,Nödinge-Nol,57.9061,12.0754
1108,Obbola,63.6976,20.3061
1109,Ockelbo,60.8986,16.7181
1110,Odensbacken,59.1641,15.5266
1111,Odensberg,58.1542,13.4397
1112,Odensjö,57.718,14.1775
1113,Oleby,60.1362,13.0416
1114,Olofstorp,57.7894,12.14
1115,Olofström,56.2813,14.5295
1116,Olsfors,57.6877,12.701
1117,Olshammar,58.7536,14.798
1118,Olstorp,57.8235,12.2932
1119,Onsala,57.4147,12.0225
1120,Onslunda,55.5982,14.0501
1121,Ope,63.1305,14.7653
1122,Optand,63.1195,14.7971
1123,Ormanäs och Stanstorp,55.9094,13.515
1124,Ornäs,60.5096,15.5411
1125,Orrefors,56.8298,15.759
1126,Orrviken,63.1,14.4333
1127,Orsa,61.1163,14.6312
1128,Osby,56.3768,14.0007
1129,Osbyholm,55.8492,13.6118
1130,Oskar-Fredriksborg,59.3988,18.4291
1131,Oskarshamn,57.266,16.432
1132,Oskarström,56.8016,12.9763
1133,Ostvik,64.8846,21.0621
1134,Otterbäcken,58.9491,14.0452
1135,Ovanåker,61.4618,15.559
1136,Ovesholm,55.995,14.0359
1137,Oxelösund,58.6729,17.0895
1138,Oxie,55.5404,13.0988
1139,Pajala,67.2139,23.3709
1140,Parksidan,59.2814,17.8482
1141,Pauliström,57.4679,15.5079
1142,Persberg,59.7507,14.2497
1143,Persbo,60.2071,15.2218
1144,Pershagen,59.1466,17.6511
1145,Perstorp,56.1358,13.3979
1146,Persön,65.7386,22.1883
1147,Pilgrimstad,62.95,15.0333
1148,Piperskärr,57.7774,16.6368
1149,Piteå,65.3047,21.4788
1150,Porjus,66.95,19.8167
1151,Pukavik,56.1671,14.6834
1152,Påarp,56.0286,12.8143
1153,Pålsboda,59.0657,15.3375
1154,Påläng,65.8167,22.9
1155,Påryd,56.5685,15.9238
1156,Påskallavik,57.1656,16.4599
1157,Rabbalshede,58.6117,11.486
1158,Raksta,59.2175,18.3011
1159,Ramdala,56.186,15.7763
1160,Ramnäs,59.7739,16.1961
1161,Ramsberg,59.7621,15.3048
1162,Ramsele,63.5393,16.4693
1163,Ramstalund,59.7972,17.4448
1164,Ramvik,62.8167,17.85
1165,Ransta,59.8045,16.6317
1166,Rappestad,58.4009,15.42
1167,Reftele,57.1747,13.5944
1168,Rejmyre,58.8333,15.9167
1169,Rengsjö,61.3703,16.611
1170,Repbäcken,60.5174,15.338
1171,Resarö,59.427,18.3194
1172,Revingeby,55.7256,13.464
1173,Riala,59.6305,18.5205
1174,Riddarhyttan,59.8083,15.5507
1175,Rimbo,59.7421,18.3714
1176,Rimforsa,58.1333,15.6667
1177,Ringarum,58.3303,16.453
1178,Ringsegård,56.8684,12.5475
1179,Rinkaby,55.9851,14.2813
1180,Rinkabyholm,56.6529,16.2553
1181,Risögrund,65.8115,23.2424
1182,Rixö,58.3682,11.4619
1183,Robertsfors,64.1921,20.849
1184,Rockhammar,59.5282,15.4488
1185,Rockneby,56.797,16.3618
1186,Roknäs,65.35,21.2
1187,Rolfhamre och Måga,61.8375,16.0044
1188,Rolfs,65.8492,23.1117
1189,Rolfstorp,57.1491,12.4787
1190,Roma kyrkby (Lövsta),41.9101,12.536
1191,Roma (Romakloster),57.5167,18.4505
1192,Ronneby,56.2108,15.286
1193,Ronnebyhamn,56.173,15.2807
1194,Rosenfors,57.3663,15.8381
1195,Rosenlund,57.5292,13.3446
1196,Rosersberg,59.5839,17.8654
1197,Rossön,63.928,16.3244
1198,Rosvik,65.4308,21.6888
1199,Rot,61.2594,14.0394
1200,Roteberg,61.3949,15.8324
1201,Rottne,57.0222,14.8918
1202,Rottneros,59.7898,13.1271
1203,Ruda,57.1167,16.1167
1204,Rundvik,63.5412,19.44
1205,Runemo,61.3551,16.1404
1206,Runhällen,60.0262,16.8214
1207,Runtuna,58.8677,17.0682
1208,Rusksele,64.8141,18.8756
1209,Rutvik,65.67,22.0833
1210,Rya,56.7,13.5833
1211,Ryd,56.4625,14.6908
1212,Rydaholm,56.9861,14.3062
1213,Rydal,57.5458,12.6986
1214,Rydbo,59.4642,18.1821
1215,Rydboholm,57.6599,12.9007
1216,Rydebäck,55.9667,12.7667
1217,Rydsgård,55.4733,13.5891
1218,Rydsnäs,57.8007,15.1485
1219,Rydöbruk,56.964,13.1479
1220,Ryssby,56.8728,14.1693
1221,Råby,59.6129,17.6033
1222,Råda,60.0,13.6
1223,Råneå,65.8567,22.2894
1224,Rångedala,57.7924,13.1427
1225,Rånnaväg,57.6759,13.4644
1226,Rånäs,59.8,18.2833
1227,Rälla,56.7745,16.5705
1229,Ränneslöv,56.453,13.0716
1230,Rättarboda,59.5046,17.6108
1231,Rättvik,60.8817,15.1016
1232,Rävemåla,56.5543,15.2632
1233,Rävlanda,57.65,12.5
1234,Röbäck,63.8074,20.199
1235,Röda holme,57.3723,11.9835
1236,Rödbo,57.8361,11.9552
1237,Rödeby,56.2622,15.6192
1238,Röfors,58.9428,14.62
1239,Röke,56.2333,13.5
1240,Rönneshytta,58.92,15.0553
1241,Rönnäng,57.9391,11.5815
1242,Rörvik,57.2388,14.5779
1243,Rörö,57.7729,11.6189
1244,Röstånga,56.002,13.2903
1245,Sala,59.9223,16.5783
1246,Salbohed,59.9095,16.3544
1247,Saleby,58.382,13.1472
1248,Saltsjöbaden,59.2815,18.3058
1249,Saltvik,57.2991,16.4941
1250,Sandared,57.7167,12.8
1251,Sandarne,61.26,17.1472
1252,Sandhem,57.9854,13.7881
1253,Sandhult,57.7708,12.8366
1254,Sandskogen,55.7596,12.9839
1255,Sandslån,63.0132,17.7939
1256,Sandviken,60.6197,16.7721
1258,Sangis,65.8558,23.493
1259,Sankt Olof,55.6368,14.1313
1260,Sannahed,59.093,15.1776
1261,Saxdalen,60.1582,14.974
1262,Saxtorpsskogen,55.8296,12.9406
1263,Segersta,61.2667,16.6333
1264,Segersäng,59.0286,17.934
1265,Segmon,59.2732,13.0563
1266,Selja,61.021,14.4566
1267,Sennan,56.7716,12.9801
1268,Seskarö,65.7319,23.7475
1269,Sexdrega,57.5705,13.1264
1270,Sibbhult,56.2702,14.199
1271,Sibble,59.1185,17.7438
1272,Sibo,61.2158,16.5987
1273,Sidensjö,63.2986,18.3002
1274,Sifferbo,60.5543,15.2307
1275,Sigtuna,59.6133,17.7239
1276,Siljansnäs,60.7775,14.8607
1277,Silverdalen,57.5437,15.7454
1278,Simlångsdalen,56.7267,13.1459
1279,Simonstorp,58.7839,16.1546
1280,Simris,55.5362,14.3237
1281,Simrishamn,55.5578,14.3433
1282,Sjuhalla,56.1985,15.5496
1283,Sjulsmark,65.5139,21.5006
1284,Sjunnen,57.4364,15.1726
1285,Sjuntorp,58.1927,12.2316
1286,Sjöberg,59.0667,18.0833
1287,Sjöbo,55.6355,13.7022
1288,Sjöbo sommarby och Svansjö sommarby,55.6355,13.7022
1289,Sjödiken,55.5221,13.247
1290,Sjögestad,58.3658,15.3715
1291,Sjömarken,57.7155,12.8351
1292,Sjörröd,56.1426,13.7408
1293,Sjösa,58.7762,17.0757
1294,Sjötorp,58.8351,13.9923
1295,Sjövik,57.9142,12.3672
1296,Skagersvik,58.9673,14.1052
1297,Skanör med Falsterbo,55.4018,12.8408
1298,Skara,58.385,13.4383
1299,Skattkärr,59.4167,13.6333
1300,Skattungbyn,61.1867,14.8532
1301,Skavkulla och Skillingenäs,56.1775,15.5047
1302,Skebobruk,59.9597,18.6212
1303,Skeda udde,58.2904,15.5603
1304,Skedala,56.694,12.9751
1305,Skede,57.4744,15.1752
1306,Skedvi kyrkby,60.4044,15.8026
1307,Skee,58.9266,11.2686
1308,Skegrie,55.4057,13.0787
1309,Skelleftehamn,64.6881,21.2318
1310,Skellefteå,64.7553,20.9599
1311,Skepparkroken,56.2888,12.8151
1312,Skepplanda,57.9849,12.2056
1313,Skeppsdalsström,59.3052,18.4844
1314,Skeppshult,57.1274,13.3704
1315,Skillingaryd,57.4306,14.0939
1316,Skillinge,55.4741,14.2806
1317,Skinnskatteberg,59.8256,15.6939
1318,Skivarp,55.4229,13.5695
1319,Skoby,60.0303,18.0246
1320,Skog,61.1698,16.8299
1321,Skoghall,59.3346,13.4939
1322,Skogsby,56.6266,16.5104
1323,Skogstorp,59.3276,16.4828
1325,Skottorp,56.45,12.95
1326,Skottsund,62.2898,17.3884
1327,Skrea,56.8874,12.5644
1328,Skreanäs,56.8833,12.55
1329,Skriketorp,58.5751,16.7097
1330,Skruv,56.6777,15.3656
1331,Skultorp,58.342,13.8258
1332,Skultuna,59.7179,16.4277
1333,Skummeslövsstrand,56.4611,12.9219
1334,Skumparp,55.5373,12.9633
1335,Skurup,55.4801,13.5066
1336,Skutskär,60.628,17.414
1337,Skyttorp,60.0778,17.7432
1338,Skånes-Fagerhult,56.3716,13.4654
1339,Skåpafors,59.0228,12.2898
1340,Skåre,59.4319,13.4332
1341,Skällinge,57.1874,12.4859
1342,Skänninge,58.3953,15.0866
1343,Skärblacka,58.581,15.9143
1344,Skärgårdsstad,59.4863,18.4008
1345,Skärhamn,57.9897,11.5568
1346,Skärplinge,60.4763,17.7579
1347,Skärstad,57.8854,14.3608
1348,Sköldinge,59.0321,16.4499
1349,Sköllersta,59.1365,15.3392
1350,Skölsta,59.8833,17.7333
1351,Skövde,58.4003,13.8599
1352,Slaka,58.3659,15.5524
1353,Slite,57.7167,18.8
1354,Slottsbron,59.3333,13.1
1355,Slottsskogen,57.686,11.9486
1356,Slöinge,56.8539,12.6957
1357,Smedby,56.6735,16.2434
1358,Smedjebacken,60.1422,15.3947
1359,Smedstorp,55.5667,14.1167
1360,Smygehamn,55.3333,13.3833
1361,Smålandsstenar,57.1667,13.4
1362,Smögen,58.3611,11.2319
1363,Snöveltorp,58.5035,16.1585
1364,Solberga,57.7317,14.7604
1366,Sollentuna,59.4457,17.9208
1367,Sollebrunn,58.1181,12.5332
1368,Sollefteå,63.1672,17.2682
1369,Sollerön,60.9167,14.6
1370,Solsidan,59.2707,18.2964
1371,Solvarbo,60.3892,15.665
1372,Sommen,58.0488,15.1807
1373,Sonstorp,58.7231,15.6366
1374,Sorsele,65.5325,17.5306
1375,Sorunda,59.0078,17.8057
1376,Sparreholm,59.0745,16.84
1377,Spjutsbygd,56.3115,15.5949
1378,Spångsholm,58.3521,15.2352
1379,Staffanstorp,55.6267,13.24
1380,Stallarholmen,59.361,17.2051
1381,Stamsjö,57.7617,12.2687
1382,Starrkärr och Näs,58.108,11.8432
1383,Stavreviken,62.5531,17.4073
1384,Stavsjö,56.8333,13.8
1385,Stavsnäs,59.2928,18.6932
1386,Stehag,55.8997,13.4044
1387,Stenared,57.8046,12.188
1388,Stenhamra,59.3347,17.685
1389,Steninge,56.758,12.6375
1390,Stensele,65.065,17.1642
1391,Stensjön,59.1807,18.3147
1392,Stenstorp,58.2744,13.7136
1393,Stensund och Krymla,58.9024,17.5707
1394,Stenungsund,58.0712,11.8443
1395,Stenungsön,58.0708,11.8032
1396,Sticklinge udde,59.3851,18.1208
1397,Stidsvig,56.2005,13.1231
1398,Stigen,58.5672,12.0631
1399,Stigtomta,58.8028,16.7856
1400,Stjärnhov,59.0768,16.9928
1401,Stoby,56.1833,13.8167
1402,Stocka,61.8939,17.3309
1403,Stockamöllan,55.9431,13.3693
1404,Stockaryd,57.3167,14.5833
1405,Stockholm,59.3261,17.9875
1406,Stockvik,62.3372,17.3624
1407,Stora Bugärde,57.6557,12.3961
1408,Stora Dyrön,57.9274,11.6113
1409,Stora Herrestad,55.476,13.8761
1410,Stora Höga,58.0173,11.8325
1411,Stora Levene,58.3262,12.9189
1412,Stora Mellby,58.1444,12.5819
1413,Stora Mellösa,59.2119,15.4988
1414,Stora Vika,58.9556,17.7872
1415,Storebro,57.5865,15.8397
1416,Storfors,59.5375,14.2751
1417,Storuman,65.1014,17.116
1418,Storvik,60.5854,16.53
1419,Storvreta,59.9597,17.7038
1420,Storå,59.714,15.143
1421,Strandhugget,58.6006,11.2628
1422,Strandnorum,58.0416,11.8207
1423,Striberg,59.5453,14.9369
1424,Strålsnäs,58.2382,15.0936
1425,Strångsjö,58.9039,16.1928
1426,Stråssa,59.7221,15.1869
1427,Strängnäs,59.3719,17.0168
1428,Strömma,59.2896,18.5368
1429,Strömsbruk,61.8741,17.3166
1430,Strömsfors,58.6882,16.3416
1431,Strömsholm,59.5333,16.25
1432,Strömsnäsbruk,56.5495,13.7309
1433,Strömstad,58.9398,11.1891
1434,Strömsund,63.8536,15.5628
1435,Strövelstorp,56.1706,12.8349
1436,Stugun,63.1667,15.6
1437,Sturefors,58.3305,15.7259
1438,Sturkö,56.1127,15.6785
1439,Styrsö,57.6117,11.7853
1440,Stånga,57.2814,18.4714
1441,Stångby,55.751,13.1977
1442,Ställdalen,59.9292,14.9641
1443,Stöcke,63.7407,20.2296
1444,Stöcksjö,63.7777,20.1783
1445,Stöde,62.4214,16.5911
1446,Stöllet,60.4173,13.2824
1447,Stöpen,58.4755,13.8639
1448,Sulvik,59.6793,12.4293
1449,Sund,55.7068,13.198
1450,Sundborn,60.6667,15.7667
1451,Sundby,59.35,17.7
1452,Sundbyholm,59.4442,16.6219
1453,Sundhultsbrunn,57.9167,14.9
1454,Sundsbruk,62.4616,17.3458
1455,Sundsvall,62.3958,17.2923
1456,Sunnansjö,60.2149,14.9566
1457,Sunne,59.8383,13.1437
1458,Sunnemo,59.8848,13.7208
1459,Sunningen,58.3298,11.844
1460,Surahammar,59.7056,16.22
1461,Surte,57.8259,12.03
1462,Svalsta,58.7434,16.8725
1463,Svalöv,55.9128,13.1036
1464,Svanberga,59.8414,18.6626
1465,Svanesund,58.1333,11.8333
1466,Svanskog,59.1667,12.55
1467,Svanvik,58.1203,11.6849
1468,Svappavaara,67.6565,21.0338
1469,Svartbyn,66.2588,22.8347
1470,Svarte,55.4321,13.7149
1471,Svartvik,62.314,17.3702
1472,Svartå,59.125,14.5167
1473,Svedala,55.4741,13.3255
1474,Sveg,62.0323,14.3667
1475,Svenljunga,57.4959,13.1077
1476,Svensbyn,65.3193,21.2517
1477,Svenshögen,58.1312,11.9487
1478,Svenstavik,62.7674,14.4321
1479,Svenstorp,55.7666,13.2542
1480,Svinninge,59.446,18.2642
1481,Svängsta,56.262,14.7691
1482,Svärdsjö,60.75,15.9167
1483,Svärtinge,58.652,16.0244
1484,Sya,58.3345,15.2242
1485,Sysslebäck,60.7369,12.8668
1486,Sågmyra,60.7167,15.2833
1487,Säffle,59.1329,12.9232
1488,Sälen,61.1744,13.2607
1489,Sälgsjön,60.6176,17.1129
1490,Särna,61.6946,13.1308
1491,Särö,57.5153,11.9382
1492,Säter,60.3468,15.7379
1493,Sätila,57.5439,12.4403
1494,Sätofta,55.9095,13.5539
1495,Sätra brunn,59.861,16.4481
1496,Sävar,63.9008,20.552
1497,Sävast,65.7604,21.754
1498,Säve,57.8033,11.9295
1499,Sävja,59.8139,17.7033
1500,Sävsjö,57.3972,14.6639
1501,Söderala,61.2818,16.9669
1502,Söderby,59.1834,18.1666
1503,Söderby-Karl,59.8864,18.7008
1504,Söderbärke,60.0699,15.5568
1505,Söderfors,60.3833,17.2333
1506,Söderhamn,61.3092,17.0725
1507,Söderköping,58.4739,16.3355
1508,Söderskogen,60.2198,17.8292
1509,Södersvik,59.7501,18.9117
1510,Södertälje,59.1846,17.6201
1511,Söderåkra,56.4452,16.0708
1512,Södra Bergsbyn och Stackgrönnan,64.7077,21.107
1513,Södra Klagshamn,55.5517,12.9139
1514,Södra Näs,57.0738,12.2675
1515,Södra Sandby,55.7169,13.3472
1516,Södra Sunderbyn,65.6597,21.9395
1517,Södra Vi,57.7403,15.7987
1518,Södra Vrams fälad,56.0686,13.0087
1519,Sölvesborg,56.0497,14.5943
1520,Sörfors,63.874,20.0413
1521,Sörforsa,61.7204,16.9762
1522,Sörmjöle,63.6806,20.0079
1523,Sörstafors,59.582,16.212
1524,Sörvik,60.1845,15.1516
1525,Söråker,62.506,17.5073
1526,Sösdala,56.0365,13.6788
1527,Sövde,55.5833,13.6667
1528,Sövestad,55.5007,13.7984
1529,Taberg,57.6833,14.0833
1530,Tahult,57.6945,12.1874
1531,Tallvik,66.3351,22.8428
1532,Tallåsen,61.8657,16.0268
1533,Tandsbyn,63.008,14.7609
1534,Tanumshede,58.7202,11.3263
1535,Tavelsjö,64.0453,20.0522
1536,Teckomatorp,55.8667,13.0901
1537,Tenhult,57.7167,14.3167
1538,Tibro,58.4166,14.158
1539,Tidaholm,58.1805,13.9585
1540,Tidan,58.5667,14.0
1541,Tidö-Lindö,59.514,16.5327
1542,Tierp,60.3471,17.5192
1543,Tillberga,59.6838,16.6234
1544,Timmele,57.8638,13.4413
1545,Timmernabben,56.9667,16.4333
1546,Timmersdala,58.5266,13.7745
1547,Timrå,62.497,17.3472
1548,Timsfors,56.4816,13.6087
1549,Tingsryd,56.5269,14.9696
